ID,RA,DEC,mf277w,dchi2,Pz7,z,z_upper_err,z_lower_err
NGDEEP 250,53.249451,-27.883313,29.6,15.6,0.9994,11.62,0.21,-0.33
NGDEEP 1191,53.266583,-27.876581,29.2,8.7,0.9938,12.31,1.23,-0.3
NGDEEP 1369,53.249467,-27.87571,29.1,14.1,0.9997,15.82,0.12,-0.81
NGDEEP 1716,53.251057,-27.796992,30.7,6.8,0.9658,11.29,0.3,-1.47
NGDEEP 2067,53.239797,-27.800244,29.3,7.5,0.9863,10.75,0.42,-0.66
NGDEEP 2470,53.248546,-27.802743,29.8,"9,5","0,9949",8.56,0.15,-0.63
NGDEEP 2497,53.248775,-27.80309,29.3,6.3,0.9808,9.19,0.6,-0.21
NGDEEP 3514,53.256875,-27.807957,29,7.5,0.9853,11.23,0.27,-0.9
NGDEEP 4134,53.245546,-27.814372,28.4,51.7,1,10.69,0.18,-0.3
NGDEEP 4330,53.264834,-27.816024,29.7,5.8,0.9736,9.16,0.96,-0.18
NGDEEP 4674,53.245601,-27.817588,29.4,5.9,0.9522,8.62,0.18,-0.21
NGDEEP 4740,53.257473,-27.817828,29.6,8.9,0.9936,9.19,0.72,-0.21
NGDEEP 4919,53.262137,-27.818774,30,5.5,0.9684,9.34,1.02,-0.24
NGDEEP 5118,53.261009,-27.819895,27.4,68.4,1,9.25,0.09,-0.06
NGDEEP 5947,53.248954,-27.822988,29.8,5.3,0.9552,8.89,1.5,-0.57
NGDEEP 6134,53,-27.823695,29.1,24.6,1,9.07,0.09,-0.12
NGDEEP 6477,53.250469,-27.825099,29.7,7.3,0.9782,8.74,0.33,-0.3
NGDEEP 6952,53.239303,-27.827168,31.2,7,0.9818,8.68,0.45,-0.75
NGDEEP 6980,53.256828,-27.827244,30.3,10.5,0.9985,10.06,0.45,-0.6
NGDEEP 7530,53.237017,-27.829892,29.8,9.2,0.9969,8.71,0.57,-0.45
NGDEEP 7722,53.24258,-27.830637,29.5,14.9,0.9994,10.93,0.3,-0.39
NGDEEP 8024,53.235202,-27.832248,30,18.9,1,9.79,3.48,-0.18
NGDEEP 8042,53.237915,-27.83233,30.4,4.4,0.9549,8.53,0.18,-0.99
NGDEEP 8165,53.23441,-27.833172,30,10.2,0.9949,10.48,0.36,-0.96
NGDEEP 8427,53.235623,-27.834282,30.3,13.8,0.9996,8.98,0.18,-0.3
NGDEEP 8461,53.235797,-27.834499,30.4,6.7,0.9619,10.36,0.27,-1.26
NGDEEP 8894,53.241008,-27.828822,29.8,16.7,0.9999,9.34,0.87,-0.06
NGDEEP 9261,53.270902,-27.841204,29.6,11.8,0.9988,8.74,0.15,-0.24
NGDEEP 9555,53.258685,-27.847324,30.5,10,0.9943,10.45,0.39,-0.84
NGDEEP 10296,53.27691,-27.850568,28.5,55.9,1,10.48,0.18,-0.33
NGDEEP 11522,53.242062,-27.855079,29.1,19.7,1,10.84,0.36,-0.3
NGDEEP 12453,53.280001,-27.858265,29.4,6.2,0.9766,9.88,0.78,-0.54
NGDEEP 13290,53.258417,-27.861651,29.1,11.2,0.9991,8.95,1.59,-0.18
NGDEEP 13406,53.240619,-27.862122,30.1,6.5,0.9809,9.31,1.05,-0.15
NGDEEP 13782,53.244589,-27.863587,30,5.9,0.9878,9.22,1.53,-0.18
NGDEEP 15166,53.267688,-27.869336,27.8,111.3,1,8.95,0.09,-0.15
NGDEEP 17672,53.249058,-27.815575,27.1,62.7,1,9.4,0.03,-0.09
NGDEEP 17674,53.233517,-27.816677,28.6,12.1,0.999,8.56,0.15,-0.15